track_id,track_name,artist_name,album_name,release_date,popularity,track_url,artist_id,genres
3YQCClOSBrbKkeAhmGvkoP,Keeping It Moving,A Tribe Called Quest,"Beats, Rhymes & Life",1996-07-30,42,https://open.spotify.com/track/3YQCClOSBrbKkeAhmGvkoP,09hVIj6vWgoCDtT03h8ZCa,"['jazz rap', 'east coast hip hop', 'hip hop']"
3NkIfsiFHnljGrlXSD2AJ3,King Without a Crown,Matisyahu,Youth,2006-03-07,51,https://open.spotify.com/track/3NkIfsiFHnljGrlXSD2AJ3,5eyMzR1hYiEZtN2c9ly2kw,"['reggae', 'reggae rock']"
3ES1fBQACydIODlZmQS359,Overloading (OVERDOSE),Mavins,Chapter X,2022-12-02,54,https://open.spotify.com/track/3ES1fBQACydIODlZmQS359,5JWBXFlYkBy3n2oN1To790,"['afrobeats', 'afrobeat', 'afropop', 'azonto', 'hiplife']"
6mybRTRWrEecDQWVSdjRrU,Mujer Maravillosa,Arcángel,Mujer Maravillosa,2010-01-01,40,https://open.spotify.com/track/6mybRTRWrEecDQWVSdjRrU,4SsVbpTthjScTS7U2hmr1X,"['reggaeton', 'trap latino', 'urbano latino']"
5N720bYInxSsiUDvBOLM3C,What's a Girl to Do,Fatima Yamaha,A Girl Between Two Worlds,2015-02-13,50,https://open.spotify.com/track/5N720bYInxSsiUDvBOLM3C,7eZRt08LoDy0nfIS6OwyMP,[]
4yec1MY0GQzaAd4DLm7JZr,Time,Klangkarussell,Time,2017-06-09,36,https://open.spotify.com/track/4yec1MY0GQzaAd4DLm7JZr,041iTeoMIwXMlShuQPIVKo,[]
2MDRM1EbQK8BleLCRJ5a8J,Ain't Whatcha Do,Bas Blasta,Ain't Whatcha Do,1994-08-16,14,https://open.spotify.com/track/2MDRM1EbQK8BleLCRJ5a8J,3wJ1Ueog9JfihY5BiQ23Vr,"['underground hip hop', 'east coast hip hop', 'boom bap']"
1QpMNpzkMxchOeYOn9RbNJ,What a Job,Devin The Dude,Waitin' to Inhale,2007,44,https://open.spotify.com/track/1QpMNpzkMxchOeYOn9RbNJ,0OMJR0LjjKv21qNvICTgbi,"['southern hip hop', 'g-funk']"
2rw5o91jFj0YD8NzahuZYs,Sight Of You,Klangkarussell,Sight Of You,2022-12-15,36,https://open.spotify.com/track/2rw5o91jFj0YD8NzahuZYs,041iTeoMIwXMlShuQPIVKo,[]
2YYAOdbnG2PhUSQqUoXzc9,Wanted Dead or Alive,2Pac,California Love,2019-08-01,24,https://open.spotify.com/track/2YYAOdbnG2PhUSQqUoXzc9,1ZwdS5xdxEREPySFridCfh,"['gangster rap', 'west coast hip hop', 'g-funk', 'hip hop']"
40R7wmfbtRTCF1kjvJq32I,Cazador (feat. Ñengo Flow),Nova y Jory,Mucha Calidad,2011-07-12,48,https://open.spotify.com/track/40R7wmfbtRTCF1kjvJq32I,6ZK8loFAzWKSFe3b7Lrq4V,['reggaeton']
0tuGvOPiF8VcDB1yjMhoWv,Eistee aus der Dose,Klangkarussell,Netzwerk,2014-01-01,35,https://open.spotify.com/track/0tuGvOPiF8VcDB1yjMhoWv,041iTeoMIwXMlShuQPIVKo,[]
03cKmr45ZcgYzng3s76STy,Feel,Fireboy DML,"Laughter, Tears & Goosebumps",2019-11-28,55,https://open.spotify.com/track/03cKmr45ZcgYzng3s76STy,75VKfyoBlkmrJFDqo1o2VY,"['afrobeats', 'afrobeat', 'afropop', 'afroswing', 'afro soul', 'alté']"
0EtirusGt3LivUmALXSMVe,Role Model,Eminem,The Slim Shady LP,1999-02-23,64,https://open.spotify.com/track/0EtirusGt3LivUmALXSMVe,7dGJo4pcD2V6oG8kP0tJRR,"['rap', 'hip hop']"
0Nj3EM5QMCIdTbWM3wzJGR,Casi q' me pierdo,Los Cafres,El Paso Gigante,2011-09-27,62,https://open.spotify.com/track/0Nj3EM5QMCIdTbWM3wzJGR,2ST5XwWB4uXGKk2NXP8DUI,"['spanish language reggae', 'reggae', 'roots reggae', 'argentine rock', 'rock en español', 'ska']"
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,Drake,Scorpion,2018-06-29,74,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,3TVXtAsR1Inumwj472S9r4,"['rap', 'hip hop']"
5fRgvfgF4TM947Gi6qOlcF,Bastará,Los Cafres,Barrilete,2007-11-11,59,https://open.spotify.com/track/5fRgvfgF4TM947Gi6qOlcF,2ST5XwWB4uXGKk2NXP8DUI,"['spanish language reggae', 'reggae', 'roots reggae', 'argentine rock', 'rock en español', 'ska']"
73w0EGtkEi2Rz1Ek2OwDSW,Butterflies - Tribe Vocal Mix,Zepherin Saint,Butterflies,2018-07-20,24,https://open.spotify.com/track/73w0EGtkEi2Rz1Ek2OwDSW,10cgCwQ5XXirdZEPR6BuDD,[]
0zaXGuUpwhbhvjBTvk0jFD,Oe Batla Kae (feat. Ms Mo & Makhensa),De Mogul SA,Oe Batla Kae,2024-03-01,20,https://open.spotify.com/track/0zaXGuUpwhbhvjBTvk0jFD,0QkYGHzYrh3PM5EjcvHfqC,"['amapiano', 'gqom', 'afropop', 'afro soul']"
6CuOPPm0CihFGZEGhme2y1,Blue Vision,Vitess,Visions,2024-03-22,36,https://open.spotify.com/track/6CuOPPm0CihFGZEGhme2y1,5DIVjY3STr8n4tEoN0dmui,"['acid house', 'lo-fi house']"
2eSJflipjhSKLExuSwuFrO,What's Luv? (feat. Ashanti),Fat Joe,What's Luv? (feat. Ashanti),2002-02-05,64,https://open.spotify.com/track/2eSJflipjhSKLExuSwuFrO,3ScY9CQxNLQei8Umvpx5g6,['east coast hip hop']
4c0rkFPszqQTyC753tsCMU,My Boo - Hitman's Club Mix,Ghost Town DJs,My Boo (Hitman's Club Mix),1996-03-26,61,https://open.spotify.com/track/4c0rkFPszqQTyC753tsCMU,4JbmXqez7WvTggoxn3UpVT,['miami bass']
4iz9lGMjU1lXS51oPmUmTe,Homecoming,Kanye West,Graduation,2007-09-11,78,https://open.spotify.com/track/4iz9lGMjU1lXS51oPmUmTe,5K4W6rqBFWDnAN6FQUkS6x,['rap']
4kEmzLky7Pnx1TeAmzR3fY,Dicotomía,Alcolirykoz,Anarcolirykoz,2024-11-27,51,https://open.spotify.com/track/4kEmzLky7Pnx1TeAmzR3fY,3ygJTpJJIK7eEeC2EFRl9D,['latin hip hop']
54q9IOzq9il8r3G7AZoLnX,Good To Go,Klangkarussell,Good To Go,2017-08-11,38,https://open.spotify.com/track/54q9IOzq9il8r3G7AZoLnX,041iTeoMIwXMlShuQPIVKo,[]
7a2FaJBUsniyDAOFoopHuM,Black Roses,Barrington Levy,"Original Ragga Muffin, Pt.1",2015-11-13,56,https://open.spotify.com/track/7a2FaJBUsniyDAOFoopHuM,5mMuiFhh7faS7qxnTLRA6u,"['reggae', 'roots reggae', 'lovers rock', 'ragga', 'dub', 'dancehall', 'rocksteady']"
7lm57RyuKBqcRtDikkkSBQ,2 Minutes & 21 Seconds Of Funk,Coolio,My Soul,1997-08-26,47,https://open.spotify.com/track/7lm57RyuKBqcRtDikkkSBQ,3y24n3XhZ96wgwRXjvS17T,"['west coast hip hop', 'g-funk']"
2gmd7lY3QSzLh0xIY4cRvi,SE ME OLVIDA,Maisak,SE ME OLVIDA,2024-08-23,80,https://open.spotify.com/track/2gmd7lY3QSzLh0xIY4cRvi,6B1hSmaLdOvChinK2Z7gfi,[]
1FkoVC85Ds3mFoK0fVqEqP,Self Esteem,The Offspring,Smash,1994-04-08,74,https://open.spotify.com/track/1FkoVC85Ds3mFoK0fVqEqP,5LfGQac0EIXyAN8aUwmNAQ,"['punk', 'skate punk']"
04KTF78FFg8sOHC1BADqbY,Hot In Herre,Nelly,Nellyville,2002-06-25,73,https://open.spotify.com/track/04KTF78FFg8sOHC1BADqbY,2gBjLmx6zQnFGQJCAQpRgw,[]
0ectw8g5yRkC7GNsh6gP4h,reason,Omah Lay,Boy Alone (Deluxe),2023-06-15,64,https://open.spotify.com/track/0ectw8g5yRkC7GNsh6gP4h,5yOvAmpIR7hVxiS6Ls5DPO,"['afrobeats', 'afrobeat', 'afropop', 'afro soul', 'alté', 'afroswing']"
10U0rbctNl1DWEuCn1ETm6,𝘠𝘚𝘓,June Freedom,Anchor Baby,2021-06-18,63,https://open.spotify.com/track/10U0rbctNl1DWEuCn1ETm6,7dYb5EKtRnRaWM0GQ12cKC,"['afrobeats', 'kizomba', 'afrobeat', 'afropop', 'afro soul']"
1Yrm0hOIWwZtfMf6xS3D3E,Mal Mal Mal,Nanpa Básico,Mal Mal Mal,2021-07-16,52,https://open.spotify.com/track/1Yrm0hOIWwZtfMf6xS3D3E,1cUpGtXcSQsovNYEZOQgOG,"['mexican hip hop', 'latin hip hop']"
1fvzWAi2LRov2P1xN6vMWh,TNT,Alcolirykoz,Anarcolirykoz,2024-11-27,52,https://open.spotify.com/track/1fvzWAi2LRov2P1xN6vMWh,3ygJTpJJIK7eEeC2EFRl9D,['latin hip hop']
1muLq1kBLWIT3pmNC2xl0g,Foe Tha Love of $,Bone Thugs-N-Harmony,Creepin on Ah Come Up,1994-06-21,62,https://open.spotify.com/track/1muLq1kBLWIT3pmNC2xl0g,5spEJXLwD1sKUdC2bnOHPg,"['gangster rap', 'g-funk']"
1wEF9bYVeZadLUHwCvBfmM,The One,Memphis Bleek,534,2005-01-01,37,https://open.spotify.com/track/1wEF9bYVeZadLUHwCvBfmM,4jWzNq3sdzSpqn7BnzvIKn,['east coast hip hop']
2aIZmULPxNNP7CM3TilRHP,follow this,ii,01.01,2023-08-04,39,https://open.spotify.com/track/2aIZmULPxNNP7CM3TilRHP,6qQBfYaI0EVaThO0OH8LPk,[]
3pXdBm3REPXWeYOCLxe5WT,Rebelión,Joe Arroyo,Musa Original,1986-08-14,50,https://open.spotify.com/track/3pXdBm3REPXWeYOCLxe5WT,7BFnoFhJjLWcsqmN3Hizqg,"['salsa', 'merengue', 'música tropical', 'salsa romantica']"
3yVLuCBTSi1JEisLugfQuF,Still Blazin (feat. Alborosie),Wiz Khalifa,Kush & Orange Juice,2010-04-14,50,https://open.spotify.com/track/3yVLuCBTSi1JEisLugfQuF,137W8MRPWKqSmrBGDBFSop,['rap']
4EaBMhUIOfnFEbIgqCfKbi,The Phantom Of the Opera - From 'The Phantom Of The Opera' Motion Picture,Andrew Lloyd Webber,The Phantom Of The Opera (Original Motion Picture Soundtrack),2004-12-10,61,https://open.spotify.com/track/4EaBMhUIOfnFEbIgqCfKbi,4aP1lp10BRYZO658B2NwkG,['musicals']
4OEeIrBPWlMFst0wxrGAwk,Curfew Panda,Oden & Fatzo,Curfew Panda,2020-12-22,26,https://open.spotify.com/track/4OEeIrBPWlMFst0wxrGAwk,2YEnrpAWWaNRFumgde1lLH,"['house', 'disco house']"
4aJ1o4U8XpUMj8ZMAwZ9KD,El Remate,Alcolirykoz,Anarcolirykoz,2024-11-27,53,https://open.spotify.com/track/4aJ1o4U8XpUMj8ZMAwZ9KD,3ygJTpJJIK7eEeC2EFRl9D,['latin hip hop']
5HBHjCETsFJP5bltmJ4BKs,Turn Around - Âme Remix,Sailor & I,Turn Around,2014-08-04,38,https://open.spotify.com/track/5HBHjCETsFJP5bltmJ4BKs,2RZbJDQz3gwJppZzfbuxTx,"['melodic techno', 'melodic house']"
5hiHDuJOcBmB8wguFDPFjD,Deseándote,Frankie Ruiz,Feliz Navidad Con Salsa,2022-12-16,69,https://open.spotify.com/track/5hiHDuJOcBmB8wguFDPFjD,4dLvccxeQIM5u80Ri0u9OV,"['salsa', 'salsa romantica', 'merengue']"
6BxiFSFVzviEqe2eIaruLV,Top of the World (feat. Ma$e),Brandy,Never Say Never,1998-05-29,51,https://open.spotify.com/track/6BxiFSFVzviEqe2eIaruLV,05oH07COxkXKIMt6mIPRee,['r&b']
6g6W3pMAFbp2FS1QCijkpM,Super Bowl LIX Halftime Show - Live,Kendrick Lamar,Super Bowl LIX Halftime Show (Live),2025-02-09,67,https://open.spotify.com/track/6g6W3pMAFbp2FS1QCijkpM,2YZyLoL8N0Wb9xBt1NhZWg,"['hip hop', 'west coast hip hop']"
6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,"Earth, Wind & Fire",I Am,1979-06,74,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,4QQgXkCYTt3BlENzhyNETg,['disco']
27suNKKvG7BIVPjTbsLnXT,Spontaneity,Bahamadia,Kollage,1996-04-02,37,https://open.spotify.com/track/27suNKKvG7BIVPjTbsLnXT,6ZcRUVs3I5U8EOnm9ZdCsO,[]
0PV1TFUMTBrDETzW6KQulB,93 'Til Infinity,Souls Of Mischief,93 'til Infinity,1993-02-13,66,https://open.spotify.com/track/0PV1TFUMTBrDETzW6KQulB,5Rzqmz1zAszembFHGZQuAt,['jazz rap']
2hnMS47jN0etwvFPzYk11f,Santeria,Sublime,Sublime,1996-07-30,77,https://open.spotify.com/track/2hnMS47jN0etwvFPzYk11f,0EdvGhlC1FkGItLOWQzG4J,"['reggae rock', 'ska punk', 'ska']"
0DrzsBstN5rObzTuX8DSro,Gbona,Burna Boy,African Giant,2019-07-25,51,https://open.spotify.com/track/0DrzsBstN5rObzTuX8DSro,3wcj11K77LjEY1PkEazffa,"['afrobeats', 'afrobeat', 'afropop', 'afroswing', 'dancehall']"
0xmjwnQ3FNE6HuWCt2nHdZ,Where Is The Love?,Black Eyed Peas,Elephunk,2003-06-24,78,https://open.spotify.com/track/0xmjwnQ3FNE6HuWCt2nHdZ,1yxSLGMDHlW21z4YXirZDS,[]
1Lyo0G6hpTjWfWi8zjd9Wz,My Darling,Victony,My Darling + Angelus,2023-06-23,54,https://open.spotify.com/track/1Lyo0G6hpTjWfWi8zjd9Wz,1E5hfn5BduN2nnoZCJmUVG,"['afrobeats', 'afrobeat', 'afropop', 'alté', 'afro soul', 'amapiano']"
20ccLIFUpfzgX5kSbDakH4,The Learning (Burn) (feat. Big Noyd),Mobb Deep,Infamy,2001-12-11,47,https://open.spotify.com/track/20ccLIFUpfzgX5kSbDakH4,6O2zJ0tId7g07yzHtX0yap,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'gangster rap']"
2SIVPuWP84mPNhF0Ns9nWC,Same Song,Digital Underground,This is an E.P. Release,1991-07-01,37,https://open.spotify.com/track/2SIVPuWP84mPNhF0Ns9nWC,7jocoSCuCtpCxCI6IbP8ye,['west coast hip hop']
3KwYiawBfqngH7eaUHQn2N,FDSR,Ryan Castro,FDSR,2024-10-10,72,https://open.spotify.com/track/3KwYiawBfqngH7eaUHQn2N,7j6DKwmjbxvpQO8h914uEz,['reggaeton']
3g1mP8c79KbkWDhED5tyKZ,Ain’t No Fun (If The Homies Can’t Have None),Snoop Dogg,Doggystyle,1993-11-23,62,https://open.spotify.com/track/3g1mP8c79KbkWDhED5tyKZ,7hJcb9fa4alzcOq3EaNPoG,"['g-funk', 'west coast hip hop', 'gangster rap', 'hip hop', 'rap']"
3tC8SJpOwJhDg8WGG1NKGR,Oh No,Mos Def,Lyricist Lounge Volume 2,2002-01-01,48,https://open.spotify.com/track/3tC8SJpOwJhDg8WGG1NKGR,0Mz5XE0kb1GBnbLQm2VbcO,"['east coast hip hop', 'hip hop']"
4tx8eznwGW39KYWFsMV8Fh,Natural Selection,Willaris. K,Natural Selection/Cobaki Sky (Prequel),2018-12-05,14,https://open.spotify.com/track/4tx8eznwGW39KYWFsMV8Fh,6ZHeg2Op5ZkNppXbNLSglj,[]
4wEbikMfcSFAukCbbL06si,No Vaseline,Ice Cube,Death Certificate,1991-10-29,66,https://open.spotify.com/track/4wEbikMfcSFAukCbbL06si,3Mcii5XWf6E0lrY3Uky4cA,"['gangster rap', 'west coast hip hop', 'g-funk']"
5enCBu8FLjlLz60k9t15MA,Coqueta,Heredero,Coqueta,2024-08-23,70,https://open.spotify.com/track/5enCBu8FLjlLz60k9t15MA,6lH7FsK8dwGhPaz6mE2PgY,"['ranchera', 'popular colombian music']"
77QvKUhVeyPVVHGFRgAmQd,Feel The Music,Guru,Jazzmatazz Volume II: The New Reality,1995-07-18,50,https://open.spotify.com/track/77QvKUhVeyPVVHGFRgAmQd,6xyaria4AcxjRuJZLkWvMW,"['jazz rap', 'acid jazz', 'east coast hip hop']"
7IYWiFTxuSmrntuskBeSRA,Sweetness in Your Soul,Nathan Adams,Audio Therapy,2013-08-10,1,https://open.spotify.com/track/7IYWiFTxuSmrntuskBeSRA,4Qc2hTBOx11WvgZMK2M4O9,['uk funky']
7isVtUtibpSO2eVSkSJcc6,Zion,Fluke,The Matrix Reloaded: The Album,2009-08-25,42,https://open.spotify.com/track/7isVtUtibpSO2eVSkSJcc6,2YzUXecwzcOdlJsnpnJfkJ,"['big beat', 'breakbeat']"
