event_name,event_date,event_url,genre
Emma Memma - Dance Island Party,2025-07-09,https://www.ticketmaster.com.au/emma-memma-dance-island-party-norwood-09-07-2025/event/1300624CEB3C29C3,Children's Music
Emma Memma - Dance Island Party,2025-07-11,https://www.ticketmaster.com.au/emma-memma-dance-island-party-mount-gambier-11-07-2025/event/2500624C84590BCE,Children's Music
Emma Memma - Dance Island Party,2025-07-19,https://www.ticketmaster.com.au/emma-memma-dance-island-party-launceston-19-07-2025/event/2500624CBBD116C3,Children's Music
2025 KANGDANIEL [ACT] Tour in Australia,2025-02-20,https://www.moshtix.com.au/v2/event/2025-kangdaniel-act-tour-in-australia/174347,Pop
Miserable Faith AUS Tour 2025 - The World Will be Better 2,2025-03-21,https://www.moshtix.com.au/v2/event/miserable-faith-aus-tour-2025-the-world-will-be-better-2/174235,Pop
Miserable Faith AUS Tour 2025 - The World Will Be Better 2,2025-03-23,https://www.moshtix.com.au/v2/event/miserable-faith-aus-tour-2025-the-world-will-be-better-2/174122,Pop
Triple Charm,2025-06-14,https://www.moshtix.com.au/v2/event/triple-charm/172696,Pop
Triple Charm Live - World Tour 2025,2025-06-21,https://www.moshtix.com.au/v2/event/triple-charm-live-world-tour-2025/172507,Pop
KALEO - Payback Tour,2025-02-18,https://www.ticketmaster.com.au/kaleo-payback-tour-st-kilda-18-02-2025/event/1300616FF4098EA4,Rock
Rose Tattoo,2025-02-16,https://www.moshtix.com.au/v2/event/rose-tattoo/169461,Rock
Gary Puckett and The Union Gap,2025-02-20,https://www.ticketmaster.com.au/gary-puckett-and-the-union-gap-southbank-20-02-2025/event/2500610FA6250E4A,Rock
MOLLY NILSSON - AUS TOUR 25' // WOLLONGONG,2025-02-20,https://www.moshtix.com.au/v2/event/molly-nilsson-aus-tour-25-wollongong/174885,Pop
KIRIN J CALLINAN Other Songs Tour *FINAL TICKETS*,2025-02-20,https://www.moshtix.com.au/v2/event/kirin-j-callinan-other-songs-tour-final-tickets-/175069,Rock
Never Ending 80's:  80'S v 90'S Battle of the Decades,2025-02-21,https://www.ticketmaster.com.au/never-ending-80s-80s-v-90s-prospect-vale-21-02-2025/event/13006115E3468804,Pop
Kate Miller-Heidke - The Telling Tales Tour,2025-02-21,https://www.ticketmaster.com.au/kate-millerheidke-the-telling-tales-tour-thirroul-21-02-2025/event/1300612CAFA85BAD,Rock
Gary Puckett and The Union Gap,2025-02-21,https://www.ticketmaster.com.au/gary-puckett-and-the-union-gap-southbank-21-02-2025/event/250061108BC90A8F,Rock
Eurogliders,2025-02-21,https://www.moshtix.com.au/v2/event/eurogliders/173609,Rock
Rum Jungle ‘Recency Bias’ AU/NZ Tour,2025-02-21,https://www.moshtix.com.au/v2/event/rum-jungle-recency-bias-au-nz-tour/173187,Rock
Primate + Special Guest Sudley,2025-02-21,https://www.moshtix.com.au/v2/event/primate-special-guest-sudley/175312,Rock
Creedence Clearwater Collective,2025-02-22,https://www.ticketmaster.com.au/creedence-clearwater-collective-thirroul-22-02-2025/event/13006075E9C07D3F,Rock
Red Hot Summer Tour: ICEHOUSE,2025-02-22,https://www.ticketmaster.com.au/red-hot-summer-tour-icehouse-berry-22-02-2025/event/1300612BA5765809,Rock
Six60 The Grassroots Tour City Edition,2025-02-22,https://www.ticketmaster.com.au/six60-the-grassroots-tour-city-edition-brisbane-22-02-2025/event/1300616B06068F9C,Rock
Never Ending 80's:  80'S v 90'S Battle of the Decades,2025-02-22,https://www.ticketmaster.com.au/never-ending-80s-80s-v-90s-sandy-bay-22-02-2025/event/130061169BE72EA5,Pop
Eurogliders,2025-02-22,https://www.moshtix.com.au/v2/event/eurogliders/173610,Rock
Rum Jungle ‘Recency Bias’ AU/NZ Tour,2025-02-22,https://www.moshtix.com.au/v2/event/rum-jungle-recency-bias-au-nz-tour/173182,Rock
THE BEASTS + Special Guests,2025-02-22,https://www.moshtix.com.au/v2/event/the-beasts-special-guests/175761,Rock
Eurogliders,2025-02-23,https://www.moshtix.com.au/v2/event/eurogliders/173611,Rock
"Simon Joyner & The Eucalypts (USA) with special guests Leah Senior (Melb), Ben Salter",2025-02-23,https://www.moshtix.com.au/v2/event/simon-joyner-the-eucalypts-usa-with-special-guests-leah-senior-melb-ben-salter/174072,Rock
CODA CHROMA ‘Luminous As It Is’ ALBUM LAUNCH (Matinee),2025-02-23,https://www.moshtix.com.au/v2/event/coda-chroma-luminous-as-it-is-album-launch-matinee-/172918,Pop
The Necks,2025-02-26,https://www.ticketmaster.com.au/the-necks-sydney-26-02-2025/event/13006148D8927BEC,Rock
OSEES with Special Guests,2025-02-26,https://www.ticketmaster.com.au/osees-with-special-guests-woolloongabba-26-02-2025/event/25006155C7AC3451,Rock
ISABEL LAROSA - HEAVEN DOESN'T WAIT TOUR,2025-02-26,https://www.moshtix.com.au/v2/event/isabel-larosa-heaven-doesn-t-wait-tour/171199,Pop
ISABEL LAROSA Heaven Doesn’t Wait Tour,2025-02-27,https://www.moshtix.com.au/v2/event/isabel-larosa-heaven-doesn-t-wait-tour/173781,Pop
Richard Clapton,2025-02-28,https://www.ticketmaster.com.au/richard-clapton-thirroul-28-02-2025/event/13006179D2794FD0,Rock
The Aristocrats,2025-02-28,https://www.ticketmaster.com.au/the-aristocrats-woolloongabba-28-02-2025/event/25006129BC1A213A,Rock
Pseudo Echo Love An Adventure Tour,2025-02-28,https://www.ticketmaster.com.au/pseudo-echo-love-an-adventure-tour-southbank-28-02-2025/event/2500615CA5EB2E34,Rock
SHIHAD : FOREVER LOUD - The Final Tour,2025-02-28,https://www.ticketmaster.com.au/shihad-forever-loud-the-final-tour-brisbane-28-02-2025/event/130061678C747A96,Rock
Eliza & The Delusionals ‘Make It Feel Like The Garden’ Album Tour | BRISBANE,2025-02-28,https://www.moshtix.com.au/v2/event/eliza-the-delusionals-make-it-feel-like-the-garden-album-tour-brisbane/164582,Rock
Peach Pit – The Magpie Tour Australia & New Zealand 2025,2025-02-28,https://www.moshtix.com.au/v2/event/peach-pit-the-magpie-tour-australia-new-zealand-2025/171816,Pop
Fontaines D.C.,2025-03-01,https://www.ticketmaster.com.au/fontaines-dc-brisbane-01-03-2025/event/13006154509E8227,Pop
Southern Sons - 35th Anniversary Tour 2025,2025-03-01,https://www.ticketmaster.com.au/southern-sons-35th-anniversary-tour-2025-thirroul-01-03-2025/event/130060D2F35C375B,Rock
Mamma Mia - The Ten Sopranos,2025-03-01,https://www.ticketmaster.com.au/mamma-mia-the-ten-sopranos-melbourne-01-03-2025/event/13006105F95F6633,Pop
Tones And I,2025-03-01,https://www.ticketmaster.com.au/tones-and-i-young-01-03-2025/event/13006133BBDD6D7E,Pop
The Kooks Australia Tour 2025,2025-03-01,https://www.ticketmaster.com.au/the-kooks-australia-tour-2025-brisbane-01-03-2025/event/13006171CDE3881D,Rock
"SummerSalt - Pete Murray, The Waifs & More",2025-03-01,https://www.ticketmaster.com.au/summersalt-pete-murray-the-waifs-more-denmark-01-03-2025/event/13006231E72C1B79,Rock
Eraserheads Huling El Bimbo World Tour 2025,2025-03-01,https://www.ticketmaster.com.au/eraserheads-huling-el-bimbo-world-tour-south-wharf-01-03-2025/event/13006184B571357E,Rock
Dragon,2025-03-01,https://www.ticketmaster.com.au/dragon-southbank-01-03-2025/event/25006191B67910F9,Rock
The Vocals Tour - Sam V & STNDRD,2025-03-01,https://www.ticketmaster.com.au/the-vocals-tour-sam-v-stndrd-brisbane-01-03-2025/event/1300624AE43229FF,Rock
Rum Jungle ‘Recency Bias’ AU/NZ Tour,2025-03-01,https://www.moshtix.com.au/v2/event/rum-jungle-recency-bias-au-nz-tour/173223,Rock
GREENLEAF (SWE) - The Head & The Habit Australian Tour 2025,2025-03-01,https://www.moshtix.com.au/v2/event/greenleaf-swe-the-head-the-habit-australian-tour-2025/171925,Rock
